Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	FWHM_Mult	Source_Rad(base)	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_C5	rel_flux_C6	rel_flux_C7	rel_flux_C8	rel_flux_C9	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_err_C5	rel_flux_err_C6	rel_flux_err_C7	rel_flux_err_C8	rel_flux_err_C9	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	rel_flux_SNR_C5	rel_flux_SNR_C6	rel_flux_SNR_C7	rel_flux_SNR_C8	rel_flux_SNR_C9	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	FWHM_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5	X(IJ)_C6	Y(IJ)_C6	X(FITS)_C6	Y(FITS)_C6	Source-Sky_C6	Source_Error_C6	Source_SNR_C6	Peak_C6	Mean_C6	Sky/Pixel_C6	FWHM_C6	Width_C6	X-Width_C6	Y-Width_C6	Angle_C6	Roundness_C6	X(IJ)_C7	Y(IJ)_C7	X(FITS)_C7	Y(FITS)_C7	Source-Sky_C7	Source_Error_C7	Source_SNR_C7	Peak_C7	Mean_C7	Sky/Pixel_C7	FWHM_C7	Width_C7	X-Width_C7	Y-Width_C7	Angle_C7	Roundness_C7	X(IJ)_C8	Y(IJ)_C8	X(FITS)_C8	Y(FITS)_C8	Source-Sky_C8	Source_Error_C8	Source_SNR_C8	Peak_C8	Mean_C8	Sky/Pixel_C8	FWHM_C8	Width_C8	X-Width_C8	Y-Width_C8	Angle_C8	Roundness_C8	X(IJ)_C9	Y(IJ)_C9	X(FITS)_C9	Y(FITS)_C9	Source-Sky_C9	Source_Error_C9	Source_SNR_C9	Peak_C9	Mean_C9	Sky/Pixel_C9	FWHM_C9	Width_C9	X-Width_C9	Y-Width_C9	Angle_C9	Roundness_C9	N_Src_Pixels_C2	N_Sky_Pixels_C2	N_Src_Pixels_C3	N_Sky_Pixels_C3	N_Src_Pixels_C4	N_Sky_Pixels_C4	N_Src_Pixels_C5	N_Sky_Pixels_C5	N_Src_Pixels_C6	N_Sky_Pixels_C6	N_Src_Pixels_C7	N_Sky_Pixels_C7	N_Src_Pixels_C8	N_Sky_Pixels_C8	N_Src_Pixels_C9	N_Sky_Pixels_C9
q052-reg-norm.fits	940	0	59820.35280671297	2459820.352806713	NaN	NaN	0	NaN	NaN	NaN	15	NaN	NaN	5.1473927296207975	9.440036874924193	1.4	10.639123112130553	8	10	3.271412417898838	1.2939001430997734	0.253483018482731	0.3049989000175341	0	0	0	0	0	35.33896264708946	29.262701279468477	8.044137678577092	8.711695047201548	0	0	0	0	0	0.0925723952502118	0.0442167020311146	0.0315115216336736	0.0350102819675155	0	0	0	0	0	1.5460246448518782	16.43301163092584	529.1833830524333	452.2122206026078	529.6833830524333	370.2877793973922	5.057684221546075	279.9608182715202	9.742996438940649	0.5191097269964715	0.1792539358139038	0.0180656859512422	0.0046390639837691	106	4.891595161927368	6.450074929924458	6.698119495023729	6.202030364825187	335.5366756515115	0.8892070504016885	315.92049678099295	609.0109780462906	316.42049678099295	213.48902195370943	0.8720525674262596	9.67712233977128	0.0901148643995412	0.0311113372445107	0.0031149093391365	0.0036944104568101	5.159563066276635	6.307402079068951	6.824837443442888	5.789966714695014	341.1064200105615	0.8112149442487686	394.54427736599035	530.0313850243873	395.04427736599035	292.4686149756127	0.3126416455965297	9.308741166692453	0.033585813591551	0.0133527684956789	0.0011167335755295	0.0034724601523273	4.989582281375069	6.552707117412277	7.015266172379222	6.090148062445332	339.14558588070224	0.8265896994302383	386.30127583948337	277.42346546575334	386.80127583948337	545.0765345342467	0.361330431829089	9.473358030538524	0.0381417476954103	0.0141519466415048	0.0012906464342401	0.003561587951013	5.548830408904119	6.386965828500454	6.433310817509	6.340620839491909	338.2099794465952	0.9801644386817631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279.9608182715202	100	279.9608182715203	110	279.9608182715203	105	0	0	0	0	0	0	0	0	0	0
q053-reg-norm.fits	941	0	59820.352991898544	2459820.3529918985	NaN	NaN	0	NaN	NaN	NaN	15	NaN	NaN	5.423027639612129	10.350847259791488	1.4	10.639123112130553	8	10	3.3344897558441877	1.3405972487533202	0.2313254558827816	0.3147071773169391	0	0	0	0	0	43.87651694761407	37.43414919234347	9.73734131477097	10.609474401497826	0	0	0	0	0	0.0759971389667363	0.0358121468679597	0.0237565315217897	0.0296628433612611	0	0	0	0	0	1.4888351935081516	19.283500968261944	528.8120756833921	452.0258229503491	529.3120756833921	370.4741770496509	4.9645057008932305	336.5903594136903	11.522632238907333	0.4308482296371549	0.1450612843036652	0.0147493995655162	0.0047854696281766	102	5.489066252277725	6.6711604344322994	7.180619400130807	6.161701468733792	24.597222540340645	0.7892374578778857	315.93311098703555	608.9342721414811	316.43311098703555	213.56572785851893	0.8527431899389111	11.272780790016558	0.0756462141705195	0.0276230275630951	0.0025334747894275	0.0036912271798607	5.495403670118786	6.748289397120219	7.753032135655586	5.743546658584854	10.716944086707953	0.7233749491090209	394.4297724932559	530.1918395813967	394.9297724932559	292.3081604186033	0.2797030453867178	11.199756248505143	0.0249740297181959	0.0125010972842574	0.0008309894730019	0.003602443310405	5.144305992896594	6.208048582603233	6.993429151430016	5.42266801377645	2.177033838079742	0.7747989647514224	386.2451486126577	277.1887312954163	386.7451486126577	545.3112687045837	0.3563889581825228	10.924435126232524	0.0326231017040631	0.013466072268784	0.0010588210512129	0.0035514563322067	5.563334643155412	6.857089011696745	7.646768626473557	6.067409396919932	14.55167897734787	0.7662271940609239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336.5903594136903	102	336.5903594136903	103	336.5903594136903	110	0	0	0	0	0	0	0	0	0	0
q054-reg-norm.fits	942	0	59820.353177083656	2459820.3531770837	NaN	NaN	0	NaN	NaN	NaN	15	NaN	NaN	5.642388292094413	10.86052339980306	1.4	10.639123112130553	8	10	3.408462193467493	1.2998505192479761	0.2440461563296717	0.3134383569475722	0	0	0	0	0	50.77782097220373	40.71197110741075	11.130805668397912	12.157014797715329	0	0	0	0	0	0.0671250189198414	0.0319279682091189	0.0219252912682284	0.0257825101114853	0	0	0	0	0	1.4102997083028315	20.66189170349561	528.8529574685097	452.2548246608742	529.3529574685097	370.2451753391258	4.806953237208434	370.55389617891257	12.982727923904958	0.3702575656967626	0.1370167285203934	0.0129723456878389	0.005132817873551	93	5.569699002158848	6.864942815697647	7.952461798250211	5.777423833145083	2.5450064751368076	0.72551239618934	315.8252752443998	608.9720917372227	316.3252752443998	213.52790826277726	0.7970860683294028	11.924618614094637	0.0668437368208376	0.0269427951425314	0.0021510664887047	0.0038257795280184	5.531816877904439	6.568452199562348	7.609484608851086	5.527419790273608	2.8561184260190173	0.7251465768150825	394.1005726405928	529.9072046516698	394.6005726405928	292.59279534833024	0.2766603323622634	11.92765543617228	0.0231948628833838	0.0113641666248441	0.0007466129359727	0.0035758595507797	5.778220537964407	6.463591831239538	7.664706214990152	5.262477447488924	15.232577334342942	0.6415906561553584	386.0835063393783	277.4817084419071	386.5835063393783	545.0182915580929	0.3365533076111653	11.93516968757957	0.0281984518377985	0.0126298004761338	0.0009082438778317	0.0036491097053598	5.6898167503499595	6.667816522280919	7.803414234488725	5.532218810073114	8.430985780184375	0.697140777641879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370.5538961789125	110	370.5538961789125	109	370.5538961789125	109	0	0	0	0	0	0	0	0	0	0
q055-reg-norm.fits	943	0	59820.35337384278	2459820.353373843	NaN	NaN	0	NaN	NaN	NaN	15	NaN	NaN	5.380190388612992	9.153163503787924	1.4	10.639123112130553	8	10	3.3134304753030706	1.3212883590866114	0.2463536822557063	0.3040117103971948	0	0	0	0	0	33.993627809412544	28.65875087077243	7.635331891368706	8.302966678253249	0	0	0	0	0	0.0974721054745916	0.0461041852467521	0.0322649605492847	0.0366148296359479	0	0	0	0	0	1.519617538996012	15.345109170447868	528.7783492426493	452.1287092886773	529.2783492426493	370.3712907113227	5.0351470645144385	263.2038958372183	9.125174414010816	0.5517863918067649	0.1642614156007767	0.0191302148036155	0.0046480202539782	111	5.309029545029385	6.334669419162617	6.502833519859917	6.166505318465317	11.872383257585913	0.9436239689055099	315.65475992143934	608.9526107003476	316.15475992143934	213.54738929965242	0.8649735207087036	8.90208571743307	0.0971652653281932	0.0306820869445801	0.0032863249153563	0.0036898418137411	5.2571586992108905	6.123607963905796	6.637664617210106	5.6095513106014865	5.198817786478835	0.8426919509167512	394.31276725899227	529.9143517342656	394.81276725899227	292.58564826573445	0.3003668875711768	8.77780950274917	0.0342188888329262	0.0129367001354694	0.0011411946871673	0.003522097428296	5.380951159396707	6.450126929626096	6.482708298314792	6.417545560937399	36.65859536477577	0.9654072949100712	386.39705099833424	277.18978049216037	386.89705099833424	545.3102195078396	0.3542771307161318	8.898050666628269	0.0398151397412056	0.0145141594111919	0.0013460178071803	0.0036076558947874	5.573622150814987	6.483341717389242	6.52868928972354	6.437994145054943	22.271800322156274	0.9805621977054733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263.2038958372182	109	263.2038958372182	112	263.2038958372183	108	0	0	0	0	0	0	0	0	0	0
q056-reg-norm.fits	944	0	59820.35355902789	2459820.353559028	NaN	NaN	0	NaN	NaN	NaN	15	NaN	NaN	5.226405094639299	9.551297112949902	1.4	10.639123112130553	8	10	3.28841150508501	1.3627508834510702	0.2397918620467775	0.2984019568386175	0	0	0	0	0	35.73814343634002	31.64809657812798	8.061123531851162	8.704150095004481	0	0	0	0	0	0.092014055261226	0.0430594895363429	0.0297467047985694	0.0342827218719353	0	0	0	0	0	1.5485975757053285	16.551220144560453	528.8798990180217	452.0129277777565	529.3798990180217	370.4870722222435	5.092426084696156	286.598941784582	10.031750250974255	0.5076308677243629	0.1673484444618225	0.0177684748345087	0.0046135955083283	103	5.19170397902086	6.477835490854504	6.713293255328863	6.242377726380145	26.944492610755162	0.8835424501703594	315.628279219644	608.8932008324766	316.128279219644	213.60679916752338	0.893176140228634	9.568454152172599	0.0933459183713422	0.03420065715909	0.0031164669857713	0.0036401103460016	4.958429109819123	6.4923296174671155	7.010531994071925	5.974127240862307	19.91421571526005	0.8109355133016735	394.24283509166014	529.866844855776	394.74283509166014	292.633155144224	0.2995189012020596	9.531885156264911	0.0314228398991146	0.0129513731226325	0.0010450802760716	0.0035393352218724	5.274304427227097	6.121184270928451	6.539537070209131	5.7028314716477695	14.588210804428332	0.8546141121684969	386.3208148924123	277.1520267036978	386.8208148924123	545.3479732963021	0.3559025342746349	9.567169841664324	0.0372003988812559	0.0140321645885706	0.0012418138464103	0.0035489407040317	5.481182862490117	6.630766996512358	7.026058003104086	6.23547598992063	24.645855534147447	0.8317550157078467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286.598941784582	109	286.598941784582	109	286.598941784582	108	0	0	0	0	0	0	0	0	0	0
q057-reg-norm.fits	945	0	59820.353744213004	2459820.353744213	NaN	NaN	0	NaN	NaN	NaN	15	NaN	NaN	5.563011512104529	9.88951593591273	1.4	10.639123112130553	8	10	3.2602662413778614	1.3180441452188567	0.2393042039920356	0.3128572361084406	0	0	0	0	0	38.21435266771124	32.55626950009224	8.658627026385647	9.486929283640741	0	0	0	0	0	0.0853152288023077	0.0404851097947547	0.0276376616365156	0.0329777135208472	0	0	0	0	0	1.5261393593694024	17.600423776288906	528.7828272852383	452.0161571507513	529.2828272852383	370.4838428492487	4.975620632990099	307.25569544579304	10.419722628770023	0.4775194897464787	0.1436944305896759	0.0161937458173755	0.0047677072628034	109	5.674215905649076	6.792267840526737	7.09761184802696	6.486923833026513	11.631440748082966	0.9066665943705015	315.8030512377908	608.5697006957542	316.3030512377908	213.93029930424575	0.8677656340384239	10.333858229159173	0.0839730538967371	0.0286810528486967	0.0028242458867342	0.0036562110785431	5.576811771564317	6.621609086062481	7.091248076995753	6.151970095129209	357.58535160996246	0.8670990304497284	394.4770501191887	529.8521763152022	394.9770501191887	292.6478236847978	0.2946908139247764	10.088662197882886	0.0292100982414316	0.0120049184188247	0.0009591061070397	0.003554981303486	5.38755689031628	6.69670544902145	7.069954521053526	6.323456376989374	10.739246210435272	0.8869266749618454	386.15213569858895	277.26991078027413	386.65213569858895	545.2300892197259	0.3636829114062021	10.060078839731027	0.036151099529149	0.0136112356558442	0.0011836490479974	0.0035794672665295	5.613461480888445	6.8943595484079845	6.996945370817276	6.791773725998693	0.7516727104348032	0.9706670162302231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307.25569544579304	104	307.25569544579304	110	307.25569544579304	111	0	0	0	0	0	0	0	0	0	0
q058-reg-norm.fits	946	0	59820.35394097259	2459820.3539409726	NaN	NaN	0	NaN	NaN	NaN	15	NaN	NaN	6.027523978357025	10.38546140606433	1.4	10.639123112130553	8	10	3.308177829181183	1.303293739142954	0.2428585299509159	0.3136421307359377	0	0	0	0	0	44.09551785100543	36.47078568068863	9.905565894538025	10.786165704771594	0	0	0	0	0	0.0750229953157417	0.0357352800280651	0.024517380686431	0.0290781858280917	0	0	0	0	0	1.4737708948702477	19.3264880096202	528.7930869901761	452.0605075878811	529.2930869901761	370.4394924121189	4.875496199702265	338.8452991829951	11.641608346387201	0.4187991946332143	0.1268471032381058	0.0143885608313227	0.0050179803084656	101	6.012441233590001	7.0552992746778	7.463125608076243	6.647472941279357	24.859554997069075	0.8351528919902649	315.9131147636658	608.930979444148	316.4131147636658	213.56902055585203	0.8339172497078935	11.34246338573214	0.0735217052370555	0.0246816333383322	0.002461055979583	0.0037566431177159	5.874158148843277	6.9136560924211565	7.248039323106404	6.579272861735908	24.988101288999086	0.8596727662456044	394.43868355577945	529.8703225788662	394.93868355577945	292.6296774211338	0.2879795442420703	11.09971414627269	0.0259447712298766	0.0115712946280837	0.0008498850210891	0.003536339263893	5.534066109223773	7.163313327589341	7.556358192330592	6.77026846284809	28.874533419387756	0.8122266110320199	386.2544063794655	277.35923810999077	386.7544063794655	545.1407618900092	0.3518741009202839	11.029868947560216	0.0319019294420645	0.0116205755621195	0.0010384505901918	0.0036114204008508	6.689430421771049	7.0802455337678225	7.405223750956274	6.75526731657937	24.76923608585189	0.8675245517026091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338.8452991829952	102	338.8452991829951	107	338.8452991829952	109	0	0	0	0	0	0	0	0	0	0
q059-reg-norm.fits	947	0	59820.354126157705	2459820.3541261577	NaN	NaN	0	NaN	NaN	NaN	15	NaN	NaN	5.508202157217646	10.06397735359986	1.4	10.639123112130553	8	10	3.33449728992566	1.2837992132663005	0.2382509019158178	0.3253066309532945	0	0	0	0	0	40.737066276157286	32.800126615910216	8.95026127924496	10.139092859348462	0	0	0	0	0	0.0818541342010503	0.0391400688265506	0.026619435397747	0.0320843921114062	0	0	0	0	0	1.5118361822368251	18.185245722421676	528.8382259610884	452.12612486713317	529.3382259610884	370.37387513286683	5.04121365248025	318.19193989875055	10.770669432516296	0.4680501694036763	0.1379417777061462	0.0158433103430727	0.0048520200114042	108	5.825615178496784	6.790147589440764	7.373687618808463	6.206607560073064	20.0973272822011	0.7967658245786522	315.5381073550963	608.8104576567071	316.0381073550963	213.68954234329294	0.8498532139203636	10.655194999202992	0.0797595176797734	0.0280914977192879	0.0026708822800187	0.0037146274609348	5.489274854174236	6.467770844735036	6.945350516727642	5.99019117274243	16.815842236577165	0.8367150704879818	394.2947481177356	529.9573620104068	394.7947481177356	292.54263798959323	0.2908912348939909	10.329625287283335	0.0281608700029132	0.0120766125619411	0.0009142005136477	0.0035453049162503	5.367532094530055	6.195775774089806	6.989636122765636	5.401915425413976	349.6772618984475	0.7586306580758124	386.5137947852702	277.17879394563755	387.0137947852702	545.3212060543624	0.3710917334224706	10.510414974592209	0.035307048705455	0.0145480781793594	0.0011662512052963	0.0035528905393782	5.350386501669509	6.872592442660915	7.445546751983578	6.299638133338252	17.40272370097101	0.8150821977586111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318.19193989875055	104	318.19193989875055	112	318.19193989875055	107	0	0	0	0	0	0	0	0	0	0
q060-reg-norm.fits	948	0	59820.35431134282	2459820.354311343	NaN	NaN	0	NaN	NaN	NaN	15	NaN	NaN	5.1151862891150675	9.126466414354393	1.4	10.639123112130553	8	10	3.2696451419605874	1.3063980014790038	0.2516609098418648	0.3029569590345763	0	0	0	0	0	32.52531239927179	27.33890358475527	7.488000686246056	7.97535584314957	0	0	0	0	0	0.1005261717957793	0.0477853106811305	0.0336085585975059	0.0379866384638876	0	0	0	0	0	1.5753329291879687	15.416289858439237	528.8533202815553	451.99138762591036	529.3533202815553	370.50861237408964	5.150779658889984	261.6707580494251	9.198276918900435	0.5599722322238707	0.1727267056703568	0.0196842004711779	0.0046092275678067	107	5.160862167261615	6.344833997201254	6.695360887102805	5.994307107299704	344.6346294258341	0.8790974069273935	315.8780175526606	608.6904138231183	316.3780175526606	213.80958617688168	0.8923055730344477	8.974974443300441	0.0994215168713408	0.0357388965785503	0.0034100316737184	0.0036528985659104	4.8443397079923916	6.197563731989643	6.31601508082627	6.079112383153016	334.394399051302	0.9407554611970379	394.5529907399575	529.7580423618454	395.0529907399575	292.74195763815464	0.3167389147859397	8.874361447555994	0.0356914597920924	0.013932665809989	0.001210448263868	0.0034779328178336	5.031284383397825	6.503899402140707	6.574787933875558	6.433010870405855	0.1408702484661921	0.9784359950606317	386.33838881309964	277.3502956545967	386.83838881309964	545.1497043454033	0.3662884413675813	8.851979193358527	0.0413792704847748	0.0148604530841112	0.0013998065511714	0.0035551723515339	5.42425889780844	6.447166236756893	6.489454424922205	6.4048780485915815	318.2512702408336	0.8901585676974764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261.6707580494251	105	261.6707580494251	107	261.6707580494251	108	0	0	0	0	0	0	0	0	0	0
w001-reg-norm.fits	949	0	59820.35647569457	2459820.3564756946	NaN	NaN	0	NaN	NaN	NaN	15	NaN	NaN	5.249579491409148	9.06524885743665	1.4	10.639123112130553	8	10	3.3487411410870025	1.3312184224375108	0.242832823704618	0.3047568602113941	0	0	0	0	0	33.8921022397599	28.561250583392876	7.588091223554258	8.100506107423138	0	0	0	0	0	0.0988059435616386	0.046609248378345	0.0320018324174647	0.0376219530199627	0	0	0	0	0	1.5396016209441195	15.347494483927733	528.7344893271503	452.1611769987183	529.2344893271503	370.3388230012817	5.15572728893981	258.1721159606298	9.02016463447692	0.5715779587030554	0.1613093912601471	0.0199701167175081	0.0046713643305173	110	5.062457682750022	6.61071351616817	6.749756679792361	6.4716703525439785	320.46094784103934	0.7979773528784923	315.57919271003726	608.8182387572408	316.07919271003726	213.6817612427592	0.8791737493531255	8.933371652112644	0.0984145498016094	0.0305311214178801	0.0034053784084382	0.0036623443011194	5.400888130924226	6.512440024741998	6.307108692630114	6.7177713568538815	303.75226649800896	0.8469113537188181	394.05925835301235	529.985485481504	394.55925835301235	292.51451451849596	0.3008174565905443	8.895902053911069	0.0338152842474576	0.0135109946131706	0.0011651818224878	0.0035632603408461	5.022116744100256	6.111077606467704	6.1784366306697125	6.043718582265697	318.3295794812319	0.8249600859457679	385.9776426813539	277.1824219278341	386.4776426813539	545.3175780721658	0.3596104150004494	8.75233594571433	0.0410873642454888	0.0138079142197967	0.0013929095853841	0.0035820850904134	5.512855407862086	6.522728232771331	6.377905735958645	6.667550729584017	309.55103566758055	0.787241144643008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258.17211596062987	103	258.1721159606298	103	258.1721159606298	108	0	0	0	0	0	0	0	0	0	0
